id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.498715149063657,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3738,0.1249,0.4987,1.1223,0.3764,0.1249,0.5013,1.1274,0.1485,0.0595,0.0261,0.0117,0.0062,0.433,0.1703,0.0718,0.0311,0.01350719516524352,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.498715149063657,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3738,0.1249,0.4987,1.1223,0.3764,0.1249,0.5013,1.1274,0.1485,0.0595,0.0261,0.0117,0.0062,0.433,0.1703,0.0718,0.0311,0.01350719516524352,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.498715149063657,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3738,0.1249,0.4987,1.1223,0.3764,0.1249,0.5013,1.1274,0.1485,0.0595,0.0261,0.0117,0.0062,0.433,0.1703,0.0718,0.0311,0.01350719516524352,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.498715149063657,0,0,PSTR,Period Start- Local time: 7:39 EST,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3738,0.1249,0.4987,1.1223,0.3764,0.1249,0.5013,1.1274,0.1485,0.0595,0.0261,0.0117,0.0062,0.433,0.1703,0.0718,0.0311,0.01350719516524352,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.498715149063657,0,0,FAC,NYI won Neu. Zone - NYR #16 TROCHECK vs NYI #29 NELSON,0.5,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3738,0.1249,0.4987,1.1223,0.3764,0.1249,0.5013,1.1274,0.1485,0.0595,0.0261,0.0117,0.0062,0.433,0.1703,0.0718,0.0311,0.01350719516524352,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,HOME,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,0.4987183142292888,0,0,SHOT,NYI ONGOAL - #10 HOLMSTROM  Wrist   Neu. Zone  75 ft. ,0.5,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3734,0.1253,0.4987,1.1227,0.376,0.1253,0.5013,1.1278,0.1485,0.0595,0.0261,0.0117,0.0062,0.433,0.1703,0.0718,0.0311,0.013508790810251086,14,10,14,10,7.5946,7.5946,0.0,0,75.7,WRIST,0,0,0,0,3.4409301068170506,0,0,17.2,0.0,0.0,FAC,HOME,0,0,0,0,0.00687622,R,5,5,0.0069,0.0,0.0069,0.0,0.0066,0.0,0.0069,0.0,0.0066,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0014,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0014,0.0,0.0069,0.0,0.0,0.0,0.0013,0.0,0.0013,0.0,1.0,0.0,1.0,0.0,HOME,,2,0.9931,0.0069,0.0,0.0066,0.0,0.0,0.0,0.0069,0.0,1.0,0.0,1.0,0.0,0.5,0.5,L,5,12.0,10.0,0.1519,0.0072,0.234,0.5786,0.0215,0.885,78.0,0.0,0.0014,0.0083,0.008,0.0,0.008,0.0,0.008,0.0
7,15,0.49872460297663884,0,0,SHOT,NYI ONGOAL - #29 NELSON  Deflected   Neu. Zone  72 ft. ,0.5,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3727,0.1261,0.4987,1.1235,0.3752,0.1261,0.5013,1.1286,0.1485,0.0595,0.0261,0.0117,0.0062,0.4331,0.1703,0.0718,0.0311,0.013511947094373545,20,22,20,22,17.6844,17.6844,10.0897,0,72.4,DEFL,0,0,1.00897486579663,0,1.3416407864998738,14,10,13.4,7.59,75.7,SHOT,HOME,0,0,0,0,0.00689081,C,5,5,0.0138,0.0,0.0138,0.0,0.0131,0.0,0.0138,0.0,0.0131,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0009,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0009,0.0,0.0138,0.0,0.0,0.0,0.0009,0.0,0.0009,0.0,1.0,0.0,1.0,0.0,HOME,,2,0.9863,0.0137,0.0,0.0131,0.0,0.0,0.0,0.0137,0.0,1.0,0.0,1.0,0.0,0.5,0.5,L,15,19.0,22.0,0.137,0.0109,0.2166,0.5957,0.0329,0.8722,73.0,0.0,0.002,0.0089,0.017,0.0,0.017,0.0,0.016,0.0
8,45,0.49874314293450994,0,0,HIT,NYR #8 MILLER HIT NYI #27 LEE  Neu. Zone,0.5,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3703,0.1284,0.4987,1.1259,0.3729,0.1284,0.5013,1.1309,0.1485,0.0595,0.0261,0.0118,0.0063,0.4333,0.1704,0.0718,0.0312,0.013521139844745038,-65,41,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,20,22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0138,0.0,0.0138,0.0,0.0131,0.0,0.0138,0.0,0.0131,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0003,0.0,0.0138,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,AWAY,,3,1.0,0.0137,0.0,0.0131,0.0,0.0,0.0,0.0137,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.016,0.0
9,62,0.49875343699704555,0,0,HIT,NYI #27 LEE HIT NYR #17 BORGEN  Def. Zone,0.0,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3691,0.1297,0.4988,1.1272,0.3716,0.1297,0.5012,1.1322,0.1486,0.0595,0.0261,0.0118,0.0063,0.4333,0.1704,0.0719,0.0312,0.01352616855963238,-27,39,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-65,41,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0138,0.0,0.0138,0.0,0.0131,0.0,0.0138,0.0,0.0131,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0138,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,HOME,,4,1.0,0.0137,0.0,0.0131,0.0,0.0,0.0,0.0137,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,62,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.016,0.0
10,72,0.4987594225030969,0,0,HIT,NYR #50 CUYLLE HIT NYI #4 DEANGELO  Neu. Zone,0.0,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3684,0.1304,0.4988,1.1279,0.3708,0.1304,0.5012,1.1329,0.1486,0.0595,0.0261,0.0118,0.0063,0.4334,0.1704,0.0719,0.0312,0.013529066753306456,-88,-26,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-27,39,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0138,0.0,0.0138,0.0,0.0131,0.0,0.0138,0.0,0.0131,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0138,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,AWAY,,5,1.0,0.0137,0.0,0.0131,0.0,0.0,0.0,0.0137,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,72,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.016,0.0
11,86,0.498767716899505,0,0,HIT,NYI #14 HORVAT HIT NYR #79 MILLER  Off. Zone,0.5,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3674,0.1314,0.4988,1.1289,0.3698,0.1314,0.5012,1.1339,0.1486,0.0595,0.0261,0.0118,0.0063,0.4335,0.1705,0.0719,0.0312,0.013533050721440074,72,-37,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-88,-26,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0138,0.0,0.0138,0.0,0.0131,0.0,0.0138,0.0,0.0131,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0138,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,HOME,,6,1.0,0.0137,0.0,0.0131,0.0,0.0,0.0,0.0137,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.016,0.0
12,105,0.4987788174478973,0,0,GIVE,NYR GIVEAWAY - #4 SCHNEIDER  Def. Zone,0.6666666666666666,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.366,0.1327,0.4988,1.1303,0.3685,0.1327,0.5012,1.1352,0.1486,0.0596,0.0261,0.0118,0.0063,0.4335,0.1705,0.0719,0.0312,0.013538322343930086,98,-4,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,72,-37,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0138,0.0,0.0138,0.0,0.0131,0.0,0.0138,0.0,0.0131,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0001,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0001,0.0,0.0138,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,1.0,0.0,1.0,0.0,AWAY,,7,1.0,0.0137,0.0,0.0131,0.0,0.0,0.0,0.0137,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,105,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.016,0.0
13,105,0.4987788174478973,0,0,HIT,NYI #7 TSYPLAKOV HIT NYR #4 SCHNEIDER  Off. Zone,0.75,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.366,0.1327,0.4988,1.1303,0.3685,0.1327,0.5012,1.1352,0.1486,0.0596,0.0261,0.0118,0.0063,0.4335,0.1705,0.0719,0.0312,0.013538322343930086,98,-3,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,98,-4,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0138,0.0,0.0138,0.0,0.0131,0.0,0.0138,0.0,0.0131,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0001,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0001,0.0,0.0138,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,1.0,0.0,1.0,0.0,HOME,,7,1.0,0.0137,0.0,0.0131,0.0,0.0,0.0,0.0137,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,105,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.016,0.0
14,106,0.49877939678378846,0,0,SHOT,NYI ONGOAL - #53 CIZIKAS  Wrist   Off. Zone  27 ft. ,0.8,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.366,0.1328,0.4988,1.1304,0.3684,0.1328,0.5012,1.1353,0.1486,0.0596,0.0261,0.0118,0.0063,0.4335,0.1705,0.0719,0.0312,0.013538595535121182,72,22,72,22,52.3058,52.3058,0.0,0,27.8,WRIST,0,0,0,0,36.069377593742864,98,-3,36.1,0.0,0.0,HIT,HOME,0,0,0,0,0.0259825,C,5,5,0.0397,0.0,0.0397,0.0,0.038,0.0,0.0397,0.0,0.038,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0004,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0004,0.0,0.0397,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0,1.0,0.0,1.0,0.0,HOME,,7,0.974,0.0397,0.0,0.0379,0.0,0.0,0.0,0.0397,0.0,1.0,0.0,1.0,0.0,0.5,0.5,L,106,71.0,23.0,0.2285,0.0492,0.3857,0.2866,0.0241,0.7537,29.0,0.0,0.011,0.037,0.054,0.0,0.054,0.0,0.052,0.0
15,120,0.49878745679995906,0,0,BLOCK,NYI #53 CIZIKAS OPPONENT-BLOCKED BY NYR #4 SCHNEIDER  Wrist  Def. Zone ,0.8333333333333334,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.365,0.1338,0.4988,1.1314,0.3674,0.1338,0.5012,1.1362,0.1487,0.0596,0.0262,0.0118,0.0063,0.4336,0.1705,0.0719,0.0312,0.013542375976143292,59,35,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,72,22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0397,0.0,0.0397,0.0,0.038,0.0,0.0397,0.0,0.038,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0003,0.0,0.0397,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,HOME,,8,1.0,0.0397,0.0,0.0379,0.0,0.0,0.0,0.0397,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,120,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.054,0.0,0.052,0.0
16,121,0.4987880289217069,0,0,HIT,NYR #4 SCHNEIDER HIT NYI #53 CIZIKAS  Neu. Zone,0.8333333333333334,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3649,0.1338,0.4988,1.1314,0.3674,0.1338,0.5012,1.1363,0.1487,0.0596,0.0262,0.0118,0.0063,0.4336,0.1705,0.0719,0.0312,0.013542642865499109,69,41,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,59,35,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0397,0.0,0.0397,0.0,0.038,0.0,0.0397,0.0,0.038,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0003,0.0,0.0397,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,AWAY,,9,1.0,0.0397,0.0,0.0379,0.0,0.0,0.0,0.0397,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.054,0.0,0.052,0.0
17,124,0.4987897424360064,0,0,HIT,NYR #39 CARRICK HIT NYI #44 PAGEAU  Neu. Zone,0.8333333333333334,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3647,0.134,0.4988,1.1316,0.3672,0.134,0.5012,1.1365,0.1487,0.0596,0.0262,0.0118,0.0063,0.4336,0.1705,0.0719,0.0312,0.013543441035639772,59,-38,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,69,41,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0397,0.0,0.0397,0.0,0.038,0.0,0.0397,0.0,0.038,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0003,0.0,0.0397,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,AWAY,,9,1.0,0.0397,0.0,0.0379,0.0,0.0,0.0,0.0397,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,124,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.054,0.0,0.052,0.0
18,173,0.4988171393379598,0,0,HIT,NYI #16 GATCOMB HIT NYR #23 FOX  Def. Zone,0.7142857142857143,0,0,0,0,0.5,0.5,1.0,0.5,0,Tuesday  February 25  2025,0.3738,0.1249,0.4987,0.3764,0.1249,0.5013,0.3616,0.1372,0.4988,1.1348,0.364,0.1372,0.5012,1.1396,0.1488,0.0596,0.0262,0.0118,0.0063,0.4338,0.1706,0.072,0.0312,0.013555957294283962,-68,42,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,59,-38,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0397,0.0,0.0397,0.0,0.038,0.0,0.0397,0.0,0.038,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0397,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,HOME,,10,1.0,0.0397,0.0,0.0379,0.0,0.0,0.0,0.0397,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,173,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.054,0.0,0.052,0.0
