id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.4125013013856754,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2963,0.1163,0.4125,0.9413,0.4712,0.1163,0.5875,1.2912,0.1757,0.0584,0.0209,0.0075,0.0026,0.7767,0.4295,0.2241,0.1192,0.05927999583556584,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.4125013013856754,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2963,0.1163,0.4125,0.9413,0.4712,0.1163,0.5875,1.2912,0.1757,0.0584,0.0209,0.0075,0.0026,0.7767,0.4295,0.2241,0.1192,0.05927999583556584,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.4125013013856754,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2963,0.1163,0.4125,0.9413,0.4712,0.1163,0.5875,1.2912,0.1757,0.0584,0.0209,0.0075,0.0026,0.7767,0.4295,0.2241,0.1192,0.05927999583556584,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.4125013013856754,0,0,PSTR,Period Start- Local time: 7:18 EDT,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2963,0.1163,0.4125,0.9413,0.4712,0.1163,0.5875,1.2912,0.1757,0.0584,0.0209,0.0075,0.0026,0.7767,0.4295,0.2241,0.1192,0.05927999583556584,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.4125013013856754,0,0,FAC,VAN won Neu. Zone - VAN #9 MILLER vs PHI #25 POEHLING,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2963,0.1163,0.4125,0.9413,0.4712,0.1163,0.5875,1.2912,0.1757,0.0584,0.0209,0.0075,0.0026,0.7767,0.4295,0.2241,0.1192,0.05927999583556584,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,9,0.4128734444264571,0,0,STOP,ICING,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2959,0.1169,0.4129,0.9427,0.4702,0.1169,0.5871,1.2912,0.1757,0.0584,0.0209,0.0075,0.0026,0.7767,0.4295,0.2242,0.1192,0.0592839028491421,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,ICIN,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9,0.4128734444264571,0,0,FAC,VAN won Def. Zone - VAN #40 PETTERSSON vs PHI #21 LAUGHTON,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2959,0.1169,0.4129,0.9427,0.4702,0.1169,0.5871,1.2912,0.1757,0.0584,0.0209,0.0075,0.0026,0.7767,0.4295,0.2242,0.1192,0.0592839028491421,-69,-22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,24,0.4134875321414412,0,0,STOP,GOALIE STOPPED,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2955,0.118,0.4135,0.945,0.4685,0.118,0.5865,1.2911,0.1758,0.0584,0.0209,0.0075,0.0026,0.7767,0.4295,0.2242,0.1192,0.059290282241778486,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-69,-22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,GOAL,,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,24,0.4134875321414412,0,0,FAC,PHI won Def. Zone - VAN #40 PETTERSSON vs PHI #21 LAUGHTON,0.6666666666666666,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2955,0.118,0.4135,0.945,0.4685,0.118,0.5865,1.2911,0.1758,0.0584,0.0209,0.0075,0.0026,0.7767,0.4295,0.2242,0.1192,0.059290282241778486,69,-22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,HOME,,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,52,0.414613716155622,0,0,MISS,PHI #21 LAUGHTON  Wrap-around  Wide Left  Off. Zone  5 ft. ,0.75,0,0,0,0,0.5,0.5,0.3333333333333333,1.0,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2946,0.12,0.4146,0.9493,0.4654,0.12,0.5854,1.2908,0.1759,0.0585,0.0209,0.0075,0.0027,0.7767,0.4296,0.2242,0.1192,0.0593017547514349,-91,5,91,-5,-68.1986,68.1986,0.0,0,5.4,WRAP,0,0,0,0,5.795076199953312,69,-22,162.3,0.0,0.0,FAC,HOME,0,0,0,0,0.01,C,5,5,0.01,0.0,0.01,0.0,0.0096,0.0,0.01,0.0,0.0096,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.01,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,HOME,,5,0.99,0.01,0.0,0.0096,0.0,0.0,0.0,0.01,0.0,1.0,0.0,1.0,0.0,0.5,0.5,L,28,-91,5,0.143,0.068,0.405,0.324,0.05,0.3,5.385,0.0,0.0139,0.0239,0.024,0.0,0.024,0.0,0.023,0.0
11,59,0.41489125813064925,0,0,SHOT,VAN ONGOAL - #20 HEINEN  Wrist   Def. Zone  131 ft. ,0.8,0,0,0,0,0.5,0.5,0.3333333333333333,1.0,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2944,0.1205,0.4149,0.9503,0.4646,0.1205,0.5851,1.2907,0.1759,0.0585,0.0209,0.0075,0.0027,0.7767,0.4296,0.2242,0.1192,0.0593045355485715,-42,3,42,-3,-3.6522,3.6522,0.0,0,47.1,WRIST,0,0,0,0,7.005828477279559,-91,5,49.0,0.0,0.0,MISS,HOME,0,0,0,0,0.0156775,L,5,5,0.01,0.0157,0.01,0.0157,0.0096,0.0165,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.39,0.61,0.3894,0.6106,0.37,0.63,0.0002,0.0003,0.5,0.5,0.0,0.0,0.5,0.5,0.3894,0.6106,0.3673,0.6327,0.0002,0.0003,0.01,0.0157,0.0,0.0,0.0002,0.0003,0.0002,0.0003,0.3673,0.6327,0.3673,0.6327,AWAY,,6,0.9843,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.01,0.0157,0.39,0.61,0.37,0.63,0.5,0.5,L,35,-42.0,3.0,0.1837,0.0404,0.3781,0.3553,0.0268,0.7324,47.0,0.0,0.0081,0.0238,0.024,0.024,0.024,0.024,0.023,0.025
12,63,0.4150491467847641,0,0,STOP,GOALIE STOPPED,0.8333333333333334,0,0,0,0,0.5,0.5,0.3333333333333333,1.0,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2943,0.1208,0.415,0.9509,0.4642,0.1208,0.585,1.2907,0.1759,0.0585,0.0209,0.0075,0.0027,0.7767,0.4296,0.2242,0.1192,0.05930610907807121,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-42,3,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.01,0.0157,0.01,0.0157,0.0096,0.0165,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.39,0.61,0.3894,0.6106,0.37,0.63,0.0002,0.0002,0.5,0.5,0.0,0.0,0.5,0.5,0.3894,0.6106,0.3673,0.6327,0.0002,0.0002,0.01,0.0157,0.0,0.0,0.0002,0.0003,0.0002,0.0003,0.3673,0.6327,0.3673,0.6327,GOAL,,6,0.9843,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.01,0.0157,0.39,0.61,0.37,0.63,0.5,0.5,,39,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.023,0.025
13,63,0.4150491467847641,0,0,FAC,PHI won Def. Zone - VAN #53 BLUEGER vs PHI #48 FROST,0.7142857142857143,0,0,0,0,0.5,0.5,0.5,1.0,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2943,0.1208,0.415,0.9509,0.4642,0.1208,0.585,1.2907,0.1759,0.0585,0.0209,0.0075,0.0027,0.7767,0.4296,0.2242,0.1192,0.05930610907807121,69,22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.01,0.0157,0.01,0.0157,0.0096,0.0165,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.39,0.61,0.3894,0.6106,0.37,0.63,0.0002,0.0002,0.5,0.5,0.0,0.0,0.5,0.5,0.3894,0.6106,0.3673,0.6327,0.0002,0.0002,0.01,0.0157,0.0,0.0,0.0002,0.0003,0.0002,0.0003,0.3673,0.6327,0.3673,0.6327,HOME,,7,1.0,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.01,0.0157,0.39,0.61,0.37,0.63,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.023,0.025
14,71,0.41536339508425324,0,0,STOP,HAND PASS,0.625,0,0,0,0,0.5,0.5,0.5,1.0,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.294,0.1213,0.4154,0.9521,0.4633,0.1213,0.5846,1.2906,0.1759,0.0585,0.0209,0.0075,0.0027,0.7767,0.4296,0.2242,0.1192,0.059309222522956014,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,69,22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.01,0.0157,0.01,0.0157,0.0096,0.0165,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.39,0.61,0.3894,0.6106,0.37,0.63,0.0001,0.0002,0.5,0.5,0.0,0.0,0.5,0.5,0.3894,0.6106,0.3673,0.6327,0.0001,0.0002,0.01,0.0157,0.0,0.0,0.0001,0.0002,0.0001,0.0002,0.3673,0.6327,0.3673,0.6327,HAND,,7,1.0,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.01,0.0157,0.39,0.61,0.37,0.63,0.5,0.5,,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.023,0.025
15,71,0.41536339508425324,0,0,FAC,VAN won Neu. Zone - VAN #53 BLUEGER vs PHI #48 FROST,0.625,0,0,0,0,0.5,0.5,0.4,1.0,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.294,0.1213,0.4154,0.9521,0.4633,0.1213,0.5846,1.2906,0.1759,0.0585,0.0209,0.0075,0.0027,0.7767,0.4296,0.2242,0.1192,0.059309222522956014,-20,-22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.01,0.0157,0.01,0.0157,0.0096,0.0165,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.39,0.61,0.3894,0.6106,0.37,0.63,0.0001,0.0002,0.5,0.5,0.0,0.0,0.5,0.5,0.3894,0.6106,0.3673,0.6327,0.0001,0.0002,0.01,0.0157,0.0,0.0,0.0001,0.0002,0.0001,0.0002,0.3673,0.6327,0.3673,0.6327,AWAY,,8,1.0,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.01,0.0157,0.39,0.61,0.37,0.63,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.023,0.025
16,76,0.41555877285997816,0,0,STOP,PUCK IN BENCHES,0.625,0,0,0,0,0.5,0.5,0.4,1.0,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2939,0.1217,0.4156,0.9528,0.4628,0.1217,0.5844,1.2906,0.1759,0.0585,0.0209,0.0075,0.0027,0.7767,0.4296,0.2242,0.1192,0.05931114578680414,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-20,-22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.01,0.0157,0.01,0.0157,0.0096,0.0165,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.39,0.61,0.3894,0.6106,0.37,0.63,0.0001,0.0002,0.5,0.5,0.0,0.0,0.5,0.5,0.3894,0.6106,0.3673,0.6327,0.0001,0.0002,0.01,0.0157,0.0,0.0,0.0001,0.0002,0.0001,0.0002,0.3673,0.6327,0.3673,0.6327,PUCK,,8,1.0,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.01,0.0157,0.39,0.61,0.37,0.63,0.5,0.5,,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.023,0.025
17,76,0.41555877285997816,0,0,FAC,VAN won Neu. Zone - VAN #53 BLUEGER vs PHI #48 FROST,0.625,0,0,0,0,0.5,0.5,0.3333333333333333,1.0,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2939,0.1217,0.4156,0.9528,0.4628,0.1217,0.5844,1.2906,0.1759,0.0585,0.0209,0.0075,0.0027,0.7767,0.4296,0.2242,0.1192,0.05931114578680414,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.01,0.0157,0.01,0.0157,0.0096,0.0165,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.39,0.61,0.3894,0.6106,0.37,0.63,0.0001,0.0002,0.5,0.5,0.0,0.0,0.5,0.5,0.3894,0.6106,0.3673,0.6327,0.0001,0.0002,0.01,0.0157,0.0,0.0,0.0001,0.0002,0.0001,0.0002,0.3673,0.6327,0.3673,0.6327,AWAY,,8,1.0,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.01,0.0157,0.39,0.61,0.37,0.63,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.023,0.025
18,82,0.41579219185574334,0,0,STOP,ICING,0.625,0,0,0,0,0.5,0.5,0.3333333333333333,1.0,0,Saturday  October 19  2024,0.2963,0.1163,0.4125,0.4712,0.1163,0.5875,0.2937,0.1221,0.4158,0.9537,0.4621,0.1221,0.5842,1.2905,0.176,0.0585,0.0209,0.0075,0.0027,0.7767,0.4296,0.2242,0.1192,0.05931343085262729,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.01,0.0157,0.01,0.0157,0.0096,0.0165,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.39,0.61,0.3894,0.6106,0.37,0.63,0.0001,0.0002,0.5,0.5,0.0,0.0,0.5,0.5,0.3894,0.6106,0.3673,0.6327,0.0001,0.0002,0.01,0.0157,0.0,0.0,0.0001,0.0002,0.0001,0.0002,0.3673,0.6327,0.3673,0.6327,ICIN,,8,1.0,0.01,0.0157,0.0096,0.0165,0.0,0.0,0.01,0.0157,0.39,0.61,0.37,0.63,0.5,0.5,,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.023,0.025
