id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.5458762200152643,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4255,0.1204,0.5459,1.2122,0.3337,0.1204,0.4541,1.0287,1.0,1.0,1.0,0.6842,0.3089,1.0,1.0,1.0,0.3158,0.12667258585210264,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.5458762200152643,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4255,0.1204,0.5459,1.2122,0.3337,0.1204,0.4541,1.0287,1.0,1.0,1.0,0.6842,0.3089,1.0,1.0,1.0,0.3158,0.12667258585210264,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.5458762200152643,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4255,0.1204,0.5459,1.2122,0.3337,0.1204,0.4541,1.0287,1.0,1.0,1.0,0.6842,0.3089,1.0,1.0,1.0,0.3158,0.12667258585210264,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.5458762200152643,0,0,PSTR,Period Start- Local time: 7:20 CDT,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4255,0.1204,0.5459,1.2122,0.3337,0.1204,0.4541,1.0287,1.0,1.0,1.0,0.6842,0.3089,1.0,1.0,1.0,0.3158,0.12667258585210264,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.5458762200152643,0,0,FAC,EDM won Neu. Zone - EDM #97 MCDAVID vs DAL #24 HINTZ,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4255,0.1204,0.5459,1.2122,0.3337,0.1204,0.4541,1.0287,1.0,1.0,1.0,0.6842,0.3089,1.0,1.0,1.0,0.3158,0.12667258585210264,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,10,0.5456553027594258,0,0,SHOT,DAL ONGOAL - #64 GRANLUND  Snap   Off. Zone  46 ft. ,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4245,0.1212,0.5457,1.2125,0.3332,0.1212,0.4543,1.0299,1.0,1.0,1.0,0.6842,0.3089,1.0,1.0,1.0,0.3158,0.12670230654588815,-56,-33,56,33,45.0,45.0,0.0,0,46.7,SNAP,0,0,0,0,6.5,0,0,65.0,0.0,0.0,FAC,AWAY,0,0,0,0,0.0120799,C,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0012,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0012,0.0,0.0121,0.0,0.0,0.0,0.0012,0.0,0.0012,0.0,1.0,0.0,1.0,0.0,HOME,,3,0.9879,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,L,10,-55.0,-34.0,0.2453,0.0282,0.3978,0.2918,0.0247,0.7992,48.0,0.0,0.0054,0.0175,0.017,0.0,0.017,0.0,0.017,0.0
7,13,0.5455893949916609,0,0,STOP,GOALIE STOPPED,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4242,0.1214,0.5456,1.2126,0.333,0.1214,0.4544,1.0302,1.0,1.0,1.0,0.6841,0.3089,1.0,1.0,1.0,0.3159,0.12671117057224704,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-56,-33,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0009,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0009,0.0,0.0121,0.0,0.0,0.0,0.0009,0.0,0.0009,0.0,1.0,0.0,1.0,0.0,GOAL,,3,0.9879,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
8,13,0.5455893949916609,0,0,FAC,EDM won Def. Zone - EDM #93 NUGENT-HOPKINS vs DAL #24 HINTZ,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4242,0.1214,0.5456,1.2126,0.333,0.1214,0.4544,1.0302,1.0,1.0,1.0,0.6841,0.3089,1.0,1.0,1.0,0.3159,0.12671117057224704,-69,-22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0009,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0009,0.0,0.0121,0.0,0.0,0.0,0.0009,0.0,0.0009,0.0,1.0,0.0,1.0,0.0,AWAY,,3,0.9879,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
9,30,0.5452190795697077,0,0,BLOCK,EDM #93 NUGENT-HOPKINS OPPONENT-BLOCKED BY DAL #4 HEISKANEN  Snap  Def. Zone ,0.75,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4225,0.1227,0.5452,1.2131,0.3321,0.1227,0.4548,1.0323,1.0,1.0,1.0,0.684,0.3088,1.0,1.0,1.0,0.316,0.1267609507804406,65,12,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-69,-22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0004,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0004,0.0,0.0121,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0,1.0,0.0,1.0,0.0,AWAY,,4,1.0,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
10,33,0.5451542822401374,0,0,HIT,DAL #24 HINTZ HIT EDM #2 BOUCHARD  Def. Zone,0.6,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4222,0.1229,0.5452,1.2132,0.3319,0.1229,0.4548,1.0326,1.0,1.0,1.0,0.684,0.3088,1.0,1.0,1.0,0.316,0.126769656999494,64,-40,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,65,12,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0004,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0004,0.0,0.0121,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,HOME,,4,1.0,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
11,36,0.5450896489912318,0,0,HIT,EDM #18 HYMAN HIT DAL #55 HARLEY  Off. Zone,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4219,0.1232,0.5451,1.2133,0.3318,0.1232,0.4549,1.033,1.0,1.0,1.0,0.684,0.3088,1.0,1.0,1.0,0.316,0.12677833988873008,83,-36,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,64,-40,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0003,0.0,0.0121,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,AWAY,,4,1.0,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,23,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
12,38,0.5450466509960239,0,0,STOP,HAND PASS,0.42857142857142855,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4217,0.1233,0.545,1.2134,0.3317,0.1233,0.455,1.0332,1.0,1.0,1.0,0.684,0.3088,1.0,1.0,1.0,0.316,0.12678411556431013,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,83,-36,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0003,0.0,0.0121,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,HAND,,4,1.0,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
13,38,0.5450466509960239,0,0,FAC,EDM won Neu. Zone - EDM #28 BROWN vs DAL #18 STEEL,0.42857142857142855,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4217,0.1233,0.545,1.2134,0.3317,0.1233,0.455,1.0332,1.0,1.0,1.0,0.684,0.3088,1.0,1.0,1.0,0.316,0.12678411556431013,20,-22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0003,0.0,0.0121,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,AWAY,,5,1.0,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
14,45,0.5448967272850592,0,0,HIT,DAL #27 MARCHMENT HIT EDM #51 STECHER  Neu. Zone,0.42857142857142855,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4211,0.1238,0.5449,1.2136,0.3313,0.1238,0.4551,1.034,1.0,1.0,1.0,0.6839,0.3088,1.0,1.0,1.0,0.3161,0.1268042494629489,5,-39,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,20,-22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0003,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0003,0.0,0.0121,0.0,0.0,0.0,0.0003,0.0,0.0003,0.0,1.0,0.0,1.0,0.0,HOME,,5,1.0,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
15,58,0.5446206242754837,0,0,STOP,PUCK IN NETTING,0.42857142857142855,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4199,0.1248,0.5446,1.214,0.3306,0.1248,0.4554,1.0355,1.0,1.0,1.0,0.6839,0.3088,1.0,1.0,1.0,0.3161,0.1268413099563485,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,5,-39,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0121,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,PUCK,,5,1.0,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
16,58,0.5446206242754837,0,0,FAC,EDM won Off. Zone - EDM #29 DRAISAITL vs DAL #53 JOHNSTON,0.375,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4199,0.1248,0.5446,1.214,0.3306,0.1248,0.4554,1.0355,1.0,1.0,1.0,0.6839,0.3088,1.0,1.0,1.0,0.3161,0.1268413099563485,69,22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0121,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,AWAY,,6,1.0,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
17,69,0.5443893289584935,0,0,BLOCK,EDM #96 WALMAN OPPONENT-BLOCKED BY DAL #95 DUCHENE  Wrist  Def. Zone ,0.3333333333333333,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4189,0.1255,0.5444,1.2143,0.3301,0.1255,0.4556,1.0368,1.0,1.0,1.0,0.6838,0.3088,1.0,1.0,1.0,0.3162,0.12687233714292143,33,20,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,69,22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0121,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,AWAY,,6,1.0,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
18,78,0.5442016529307829,0,0,HIT,DAL #44 CECI HIT EDM #42 KAPANEN  Def. Zone,0.3,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.418,0.1262,0.5442,1.2146,0.3296,0.1262,0.4558,1.0378,1.0,1.0,1.0,0.6837,0.3088,1.0,1.0,1.0,0.3163,0.12689750006880407,94,-29,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,33,20,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0121,0.0,0.0121,0.0,0.0115,0.0,0.0121,0.0,0.0115,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0121,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,1.0,0.0,1.0,0.0,HOME,,6,1.0,0.0121,0.0,0.0115,0.0,0.0,0.0,0.0121,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.017,0.0,0.017,0.0
19,83,0.5440979905034908,0,0,MISS,EDM #36 KLINGBERG  Snap  Wide Left  Off. Zone  59 ft. ,0.2727272727272727,0,0,0,0,0.5,0.5,0.0,0.5,0,Wednesday  May 21  2025,0.4255,0.1204,0.5459,0.3337,0.1204,0.4541,0.4176,0.1265,0.5441,1.2147,0.3294,0.1265,0.4559,1.0383,1.0,1.0,1.0,0.6837,0.3087,1.0,1.0,1.0,0.3163,0.12691139370553378,40,-32,40,-32,-33.147,33.147,0.0,0,58.5,SNAP,0,0,0,0,10.816653826391967,94,-29,54.1,0.0,0.0,HIT,HOME,0,0,0,0,0.0129186,LD,5,5,0.0121,0.0129,0.0121,0.0129,0.0115,0.0136,0.0121,0.0129,0.0115,0.0136,0.0,0.0,0.48,0.52,0.4832,0.5168,0.46,0.54,0.0001,0.0002,0.5,0.5,0.0,0.0,0.5,0.5,0.4832,0.5168,0.4598,0.5402,0.0001,0.0002,0.0121,0.0129,0.0,0.0,0.0001,0.0002,0.0001,0.0002,0.4598,0.5402,0.4598,0.5402,AWAY,,6,0.9871,0.0121,0.0129,0.0115,0.0136,0.0,0.0,0.0121,0.0129,0.48,0.52,0.46,0.54,0.5,0.5,R,25,39.0,-33.0,0.1987,0.0369,0.4328,0.2981,0.0206,0.6329,60.0,0.0,0.0071,0.02,0.017,0.02,0.017,0.02,0.017,0.021
