id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.5318139296293283,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.41,0.1218,0.5318,1.1854,0.3464,0.1218,0.4682,1.0582,1.0,0.0506,0.0195,0.0095,0.0047,1.0,0.9494,0.4727,0.2563,0.1366773492666721,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.5318139296293283,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.41,0.1218,0.5318,1.1854,0.3464,0.1218,0.4682,1.0582,1.0,0.0506,0.0195,0.0095,0.0047,1.0,0.9494,0.4727,0.2563,0.1366773492666721,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.5318139296293283,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.41,0.1218,0.5318,1.1854,0.3464,0.1218,0.4682,1.0582,1.0,0.0506,0.0195,0.0095,0.0047,1.0,0.9494,0.4727,0.2563,0.1366773492666721,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.5318139296293283,0,0,PSTR,Period Start- Local time: 7:10 EDT,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.41,0.1218,0.5318,1.1854,0.3464,0.1218,0.4682,1.0582,1.0,0.0506,0.0195,0.0095,0.0047,1.0,0.9494,0.4727,0.2563,0.1366773492666721,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.5318139296293283,0,0,FAC,TOR won Neu. Zone - TOR #34 MATTHEWS vs OTT #12 PINTO,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.41,0.1218,0.5318,1.1854,0.3464,0.1218,0.4682,1.0582,1.0,0.0506,0.0195,0.0095,0.0047,1.0,0.9494,0.4727,0.2563,0.1366773492666721,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,0.5317058491442002,0,0,HIT,TOR #16 MARNER HIT OTT #85 SANDERSON  Neu. Zone,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4093,0.1224,0.5317,1.1858,0.3459,0.1224,0.4683,1.059,1.0,0.0506,0.0195,0.0094,0.0047,1.0,0.9494,0.4727,0.2563,0.13667389777856934,-57,41,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,16,0.5315678438038516,0,0,HIT,TOR #34 MATTHEWS HIT OTT #71 GREIG  Neu. Zone,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4085,0.1231,0.5316,1.1862,0.3454,0.1231,0.4684,1.0599,1.0,0.0506,0.0195,0.0094,0.0047,1.0,0.9494,0.4727,0.2563,0.1366695244672028,99,-1,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-57,41,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,AWAY,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,38,0.5312349482539052,0,0,HIT,OTT #7 TKACHUK HIT TOR #8 TANEV  Neu. Zone,0.5,0,0,0,0,0.5,0.5,0.0,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4065,0.1247,0.5312,1.1872,0.344,0.1247,0.4688,1.0623,1.0,0.0506,0.0195,0.0094,0.0047,1.0,0.9494,0.4728,0.2563,0.13665913549291894,-1,42,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,99,-1,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,HOME,,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,50,0.5310559821529769,0,0,SHOT,OTT ONGOAL - #7 TKACHUK  Wrist   Off. Zone  40 ft. ,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4054,0.1256,0.5311,1.1877,0.3433,0.1256,0.4689,1.0635,1.0,0.0506,0.0195,0.0094,0.0047,1.0,0.9494,0.4728,0.2563,0.13665364683676928,62,30,62,30,48.0128,48.0128,0.0,0,40.4,WRIST,0,0,0,0,5.344389581607988,-1,42,64.1,0.0,0.0,HIT,HOME,0,0,0,0,0.0119427,L,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0119,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,HOME,,4,0.9881,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,L,50,62.0,30.0,0.2135,0.0322,0.4277,0.2914,0.0233,0.7453,40.0,0.0,0.0064,0.0183,0.018,0.0,0.018,0.0,0.017,0.0
10,52,0.5310263309947628,0,0,STOP,PUCK IN NETTING,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4053,0.1258,0.531,1.1878,0.3432,0.1258,0.469,1.0637,1.0,0.0506,0.0195,0.0094,0.0047,1.0,0.9494,0.4728,0.2563,0.13665274415254358,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,62,30,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0119,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,PUCK,,4,0.9881,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,52,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.017,0.0
11,52,0.5310263309947628,0,0,FAC,TOR won Def. Zone - TOR #24 LAUGHTON vs OTT #81 GAUDETTE,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4053,0.1258,0.531,1.1878,0.3432,0.1258,0.469,1.0637,1.0,0.0506,0.0195,0.0094,0.0047,1.0,0.9494,0.4728,0.2563,0.13665274415254358,69,22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0119,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,AWAY,,4,0.9881,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.017,0.0
12,60,0.5309082258318019,0,0,GIVE,OTT GIVEAWAY - #33 MATINPALO  Neu. Zone,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4046,0.1264,0.5309,1.1882,0.3427,0.1264,0.4691,1.0645,1.0,0.0506,0.0195,0.0094,0.0047,1.0,0.9494,0.4728,0.2563,0.13664916773986752,9,-40,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,69,22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0119,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,HOME,,5,1.0,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.017,0.0
13,68,0.5307909134508569,0,0,HIT,OTT #81 GAUDETTE HIT TOR #2 BENOIT  Neu. Zone,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4039,0.1269,0.5308,1.1885,0.3423,0.1269,0.4692,1.0654,1.0,0.0506,0.0195,0.0094,0.0047,1.0,0.9494,0.4728,0.2563,0.13664564595246595,49,-39,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,9,-40,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0119,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,HOME,,5,1.0,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.017,0.0
14,74,0.5307034443378681,0,0,STOP,OFF-SIDE,1.0,0,0,0,0,0.5,0.5,0.0,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4033,0.1274,0.5307,1.1888,0.3419,0.1274,0.4693,1.066,1.0,0.0505,0.0195,0.0094,0.0046,1.0,0.9495,0.4728,0.2563,0.13664304022399454,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,49,-39,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0119,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,OFF-,,5,1.0,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.017,0.0
15,74,0.5307034443378681,0,0,FAC,OTT won Neu. Zone - TOR #11 DOMI vs OTT #24 COZENS,1.0,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4033,0.1274,0.5307,1.1888,0.3419,0.1274,0.4693,1.066,1.0,0.0505,0.0195,0.0094,0.0046,1.0,0.9495,0.4728,0.2563,0.13664304022399454,-20,-22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0119,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,1.0,0.0,1.0,0.0,HOME,,5,1.0,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.017,0.0
16,79,0.5306308878591666,0,0,GIVE,OTT GIVEAWAY - #20 ZETTERLUND  Neu. Zone,1.0,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4029,0.1277,0.5306,1.189,0.3417,0.1277,0.4694,1.0665,1.0,0.0505,0.0195,0.0094,0.0046,1.0,0.9495,0.4728,0.2563,0.13664089196749482,15,36,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-20,-22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0002,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0002,0.0,0.0119,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,1.0,0.0,1.0,0.0,HOME,,5,1.0,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.017,0.0
17,83,0.5305730601120138,0,0,HIT,OTT #24 COZENS HIT TOR #2 BENOIT  Neu. Zone,1.0,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4026,0.128,0.5306,1.1891,0.3414,0.128,0.4694,1.0668,1.0,0.0505,0.0195,0.0094,0.0046,1.0,0.9495,0.4728,0.2563,0.13663918846810133,94,-19,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,15,36,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0001,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0001,0.0,0.0119,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,1.0,0.0,1.0,0.0,HOME,,5,1.0,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.017,0.0
18,85,0.5305442183571527,0,0,HIT,TOR #67 PACIORETTY HIT OTT #20 ZETTERLUND  Neu. Zone,1.0,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4024,0.1281,0.5305,1.1892,0.3413,0.1281,0.4695,1.067,1.0,0.0505,0.0195,0.0094,0.0046,1.0,0.9495,0.4728,0.2563,0.13663834173676295,6,-39,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,94,-19,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0001,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0001,0.0,0.0119,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,1.0,0.0,1.0,0.0,AWAY,,5,1.0,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.017,0.0
19,94,0.5304150214034313,0,0,HIT,TOR #67 PACIORETTY HIT OTT #33 MATINPALO  Neu. Zone,1.0,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Thursday  April 24  2025,0.41,0.1218,0.5318,0.3464,0.1218,0.4682,0.4017,0.1288,0.5304,1.1896,0.3408,0.1288,0.4696,1.0679,1.0,0.0505,0.0195,0.0094,0.0046,1.0,0.9495,0.4728,0.2563,0.1366345726567175,-97,16,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,6,-39,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0119,0.0,0.0119,0.0,0.0114,0.0,0.0119,0.0,0.0114,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0001,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0001,0.0,0.0119,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,1.0,0.0,1.0,0.0,AWAY,,6,1.0,0.0119,0.0,0.0114,0.0,0.0,0.0,0.0119,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.018,0.0,0.017,0.0
