id,time,homeWinProbability,homeTeamGoals,awayTeamGoals,event,eventDescriptionRaw,homePercentOfEventsInOffensiveZone,homeTeamShootOutGoals,homeTeamShootOutAttempts,awayTeamShootOutGoals,awayTeamShootOutAttempts,leadWinProbability,tieGameModelProbability,homeFaceoffWinPercentage,homeShareCloseShots,penaltyTimeSumSquare,game_date,preGameHomeTeamWinInRegScore,preGameHomeTeamWinInOTScore,preGameHomeTeamWinOverallScore,preGameAwayTeamWinInRegScore,preGameAwayTeamWinInOTScore,preGameAwayTeamWinOverallScore,liveHomeTeamWinInRegScore,liveHomeTeamWinInOTScore,liveHomeTeamWinOverallScore,liveHomeTeamExpectedPoints,liveAwayTeamWinInRegScore,liveAwayTeamWinInOTScore,liveAwayTeamWinOverallScore,liveAwayTeamExpectedPoints,liveHomeTeamMakeRound1,liveHomeTeamMakeRound2,liveHomeTeamMakeRound3,liveHomeTeamMakeRound4,liveHomeTeamWinCup,liveAwayTeamMakeRound1,liveAwayTeamMakeRound2,liveAwayTeamMakeRound3,liveAwayTeamMakeRound4,liveAwayTeamWinCup,xCord,yCord,xCordAdjusted,yCordAdjusted,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAngleReboundRoyalRoad,shotDistance,shotType,shotOnEmptyNet,shotRebound,shotAnglePlusReboundSpeed,shotRush,speedFromLastEvent,lastEventxCord,lastEventyCord,distanceFromLastEvent,lastEventShotAngle,lastEventShotDistance,lastEventCategory,lastEventTeam,awayPenalty1TimeLeft,awayPenalty1Length,homePenalty1TimeLeft,homePenalty1Length,shotGoalProbability,playerPositionThatDidEvent,homeSkatersOnIce,awaySkatersOnIce,homeTeamExpectedGoals,awayTeamExpectedGoals,homeTeamExpectedGoalsEV,awayTeamExpectedGoalsEV,homeTeamExpectedGoalsAdjEV,awayTeamExpectedGoalsAdjEV,homeTeamExpectedGoalsEVNonRebound,awayTeamExpectedGoalsEVNonRebound,homeTeamExpectedGoalsAdjEVNonRebound,awayTeamExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsPP,awayTeamExpectedGoalsPP,homeShareOfExpectedGoals,awayShareOfExpectedGoals,homeShareOfExpectedGoalsEV,awayShareOfExpectedGoalsEV,homeTeamShareOfExpectedGoalsAdjEV,awayTeamShareOfExpectedGoalsAdjEV,homeTeamExpectedGoalsEVPer60,awayTeamExpectedGoalsEVPer60,homeShareOfExpectedGoalsPP,awayShareOfExpectedGoalsPP,homeTeamExpectedGoalsPPPer60,awayTeamExpectedGoalsPPPer60,homeTeamShareOfExpectedGoalsPPP60,awayTeamShareOfExpectedGoalsPPP60,homeShareOfExpectedGoalsEVNonRebound,awayShareOfExpectedGoalsEVNonRebound,homeTeamShareOfExpectedGoalsAdjEVNonRebound,awayTeamShareOfExpectedGoalsAdjEVNonRebound,homeTeamExpectedGoalsEVPer60NonRebound,awayTeamExpectedGoalsEVPer60NonRebound,homeTeamExpectedGoalsIncludingEmptyNet,awayTeamExpectedGoalsIncludingEmptyNet,homeTeamTotalPPTime,awayTeamTotalPPTime,homeTeamExpectedGoalsAdjEVNonReboundPer60,awayTeamExpectedGoalsAdjEVNonReboundPer60,homeTeamExpectedGoalsAdjEVPer60,awayTeamExpectedGoalsAdjEVPer60,homeTeamShareExpectedGoalsAdjEVNonReboundPer60,awayTeamShareExpectedGoalsAdjEVNonReboundPer60,homeTeamShareExpectedGoalsAdjEVPer60,awayTeamShareExpectedGoalsAdjEVPer60,team,replayId,sequence,sequenceScaledFactor,homeTeamExpectedGoalsEVSequence,awayTeamExpectedGoalsEVSequence,homeTeamExpectedGoalsEVSequenceAdj,awayTeamExpectedGoalsEVSequenceAdj,homeTeamExpectedGoalsPPSequence,awayTeamExpectedGoalsPPSequence,homeTeamExpectedGoalsSequence,awayTeamExpectedGoalsSequence,homeTeamShareOfExpectedGoalsSequenceEV,awayTeamShareOfExpectedGoalsSequenceEV,homeTeamShareOfExpectedGoalsSequenceAdjEV,awayTeamShareOfExpectedGoalsSequenceAdjEV,homeShareOfExpectedGoalsPPSequenceP60,awayShareOfExpectedGoalsPPSequenceP60,shotFromLeftOrRightShooter,timeSinceFaceoff,arenaAdjustedXCord,arenaAdjustedYCord,shotFrozeProbability,shotReboundProbability,shotContinueInZoneProbability,shotContinueOutsideZoneProbability,shotPlayStoppedProbability,shotOnGoalProbability,arenaAdjustedShotDistance,shotActualReboundxGoals,shotPredictedxGoalsFromRebounds,totalShotCreditOfShot,homeTeamTotalShotCredit,awayTeamTotalShotCredit,homeTeamTotalShotCreditEV,awayTeamTotalShotCreditEV,homeTeamTotalShotCreditEVScoreFlurryAdjusted,awayTeamTotalShotCreditEVScoreFlurryAdjusted
1,0,0.5045625373499618,0,0,PGSTR, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.38,0.1245,0.5046,1.1337,0.3709,0.1245,0.4954,1.1154,1.0,1.0,0.6487,0.294,0.1271,1.0,1.0,0.3513,0.1764,0.08455013381729377,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0.5045625373499618,0,0,PGEND, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.38,0.1245,0.5046,1.1337,0.3709,0.1245,0.4954,1.1154,1.0,1.0,0.6487,0.294,0.1271,1.0,1.0,0.3513,0.1764,0.08455013381729377,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0.5045625373499618,0,0,ANTHEM, ,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.38,0.1245,0.5046,1.1337,0.3709,0.1245,0.4954,1.1154,1.0,1.0,0.6487,0.294,0.1271,1.0,1.0,0.3513,0.1764,0.08455013381729377,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5, ,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.5045625373499618,0,0,PSTR,Period Start- Local time: 7:15 MDT,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.38,0.1245,0.5046,1.1337,0.3709,0.1245,0.4954,1.1154,1.0,1.0,0.6487,0.294,0.1271,1.0,1.0,0.3513,0.1764,0.08455013381729377,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,Peri,,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.5045625373499618,0,0,FAC,EDM won Neu. Zone - VGK #71 KARLSSON vs EDM #19 HENRIQUE,0.5,0,0,0,0,0.5,0.5,1.0,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.38,0.1245,0.5046,1.1337,0.3709,0.1245,0.4954,1.1154,1.0,1.0,0.6487,0.294,0.1271,1.0,1.0,0.3513,0.1764,0.08455013381729377,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,HOME,,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,17,0.5045245809936575,0,0,GIVE,EDM GIVEAWAY - #74 SKINNER  Def. Zone,0.0,0,0,0,0,0.5,0.5,1.0,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3786,0.1259,0.5045,1.1349,0.3696,0.1259,0.4955,1.1169,1.0,1.0,0.6487,0.294,0.1271,1.0,1.0,0.3513,0.1764,0.08454846393541655,-99,-1,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,HOME,,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,86,0.5043761391878143,0,0,MISS,EDM #90 PERRY  Snap  Wide Left  Neu. Zone  84 ft. ,0.0,0,0,0,0,0.5,0.5,1.0,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3733,0.1311,0.5044,1.1398,0.3646,0.1311,0.4956,1.1223,1.0,1.0,0.6486,0.294,0.1271,1.0,1.0,0.3514,0.1764,0.0845424849669132,14,-37,14,-37,-26.2587,26.2587,0.0,0,83.6,SNAP,0,0,0,0,1.718781923382669,-99,-1,118.6,0.0,0.0,GIVE,HOME,0,0,0,0,0.00337343,R,5,5,0.0034,0.0,0.0034,0.0,0.0032,0.0,0.0034,0.0,0.0032,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,HOME,,4,0.9966,0.0034,0.0,0.0032,0.0,0.0,0.0,0.0034,0.0,1.0,0.0,1.0,0.0,0.5,0.5,R,86,18.0,-35.0,0.2487,0.0061,0.1934,0.5083,0.0401,0.8427,79.0,0.0,0.0011,0.0045,0.005,0.0,0.005,0.0,0.004,0.0
8,87,0.5043740516084243,0,0,HIT,VGK #14 HAGUE HIT EDM #90 PERRY  Neu. Zone,0.0,0,0,0,0,0.5,0.5,1.0,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3732,0.1311,0.5044,1.1399,0.3645,0.1311,0.4956,1.1224,1.0,1.0,0.6486,0.294,0.1271,1.0,1.0,0.3514,0.1764,0.08454240753763263,24,-39,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,14,-37,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0034,0.0,0.0034,0.0,0.0032,0.0,0.0034,0.0,0.0032,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,AWAY,,4,0.9966,0.0034,0.0,0.0032,0.0,0.0,0.0,0.0034,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.004,0.0
9,90,0.5043677994440652,0,0,STOP,PUCK IN NETTING,0.0,0,0,0,0,0.5,0.5,1.0,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.373,0.1314,0.5044,1.1401,0.3643,0.1314,0.4956,1.1226,1.0,1.0,0.6486,0.294,0.1271,1.0,1.0,0.3514,0.1764,0.08454217680146946,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,24,-39,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0034,0.0,0.0034,0.0,0.0032,0.0,0.0034,0.0,0.0032,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,PUCK,,4,0.9966,0.0034,0.0,0.0032,0.0,0.0,0.0,0.0034,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.004,0.0
10,90,0.5043677994440652,0,0,FAC,VGK won Def. Zone - VGK #95 OLOFSSON vs EDM #93 NUGENT-HOPKINS,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.373,0.1314,0.5044,1.1401,0.3643,0.1314,0.4956,1.1226,1.0,1.0,0.6486,0.294,0.1271,1.0,1.0,0.3514,0.1764,0.08454217680146946,69,-22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0034,0.0,0.0034,0.0,0.0032,0.0,0.0034,0.0,0.0032,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,AWAY,,5,1.0,0.0034,0.0,0.0032,0.0,0.0,0.0,0.0034,0.0,1.0,0.0,1.0,0.0,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.004,0.0
11,106,0.5043347200073504,0,0,SHOT,VGK ONGOAL - #14 HAGUE  Snap   Off. Zone  60 ft. ,0.3333333333333333,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3719,0.1325,0.5043,1.1411,0.3632,0.1325,0.4957,1.1238,1.0,1.0,0.6486,0.294,0.1271,1.0,1.0,0.3514,0.1764,0.08454098531102824,-28,-2,28,2,1.8779,1.8779,0.0,0,61.0,SNAP,0,0,0,0,6.1900247374303765,69,-22,99.0,0.0,0.0,FAC,AWAY,0,0,0,0,0.0159828,RD,5,5,0.0034,0.016,0.0034,0.016,0.0032,0.0168,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.17,0.83,0.1743,0.8257,0.16,0.84,0.0,0.0002,0.5,0.5,0.0,0.0,0.5,0.5,0.1743,0.8257,0.1612,0.8388,0.0,0.0002,0.0034,0.016,0.0,0.0,0.0,0.0002,0.0,0.0002,0.1612,0.8388,0.1612,0.8388,AWAY,,6,0.984,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.0034,0.016,0.17,0.83,0.16,0.84,0.5,0.5,L,16,-27.0,-2.0,0.2278,0.038,0.3648,0.3316,0.0218,0.7281,62.0,0.0,0.0074,0.0234,0.005,0.023,0.005,0.023,0.004,0.025
12,108,0.5043306162103094,0,0,STOP,GOALIE STOPPED,0.25,0,0,0,0,0.5,0.5,0.5,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3717,0.1326,0.5043,1.1413,0.3631,0.1326,0.4957,1.1239,1.0,1.0,0.6486,0.294,0.1271,1.0,1.0,0.3514,0.1764,0.08454084097946263,0,0,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-28,-2,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0034,0.016,0.0034,0.016,0.0032,0.0168,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.17,0.83,0.1743,0.8257,0.16,0.84,0.0,0.0001,0.5,0.5,0.0,0.0,0.5,0.5,0.1743,0.8257,0.1612,0.8388,0.0,0.0001,0.0034,0.016,0.0,0.0,0.0,0.0002,0.0,0.0002,0.1612,0.8388,0.1612,0.8388,GOAL,,6,0.984,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.0034,0.016,0.17,0.83,0.16,0.84,0.5,0.5,,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.023,0.005,0.023,0.004,0.025
13,108,0.5043306162103094,0,0,FAC,VGK won Off. Zone - VGK #48 HERTL vs EDM #93 NUGENT-HOPKINS,0.2,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3717,0.1326,0.5043,1.1413,0.3631,0.1326,0.4957,1.1239,1.0,1.0,0.6486,0.294,0.1271,1.0,1.0,0.3514,0.1764,0.08454084097946263,-69,-22,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,0,0,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0034,0.016,0.0034,0.016,0.0032,0.0168,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.17,0.83,0.1743,0.8257,0.16,0.84,0.0,0.0001,0.5,0.5,0.0,0.0,0.5,0.5,0.1743,0.8257,0.1612,0.8388,0.0,0.0001,0.0034,0.016,0.0,0.0,0.0,0.0002,0.0,0.0002,0.1612,0.8388,0.1612,0.8388,AWAY,,6,0.984,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.0034,0.016,0.17,0.83,0.16,0.84,0.5,0.5,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.023,0.005,0.023,0.004,0.025
14,110,0.5043265192681121,0,0,BLOCK,VGK #7 PIETRANGELO BLOCKED BY TEAMMATE  Snap  Def. Zone ,0.16666666666666666,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3716,0.1327,0.5043,1.1414,0.3629,0.1327,0.4957,1.1241,1.0,1.0,0.6486,0.294,0.1271,1.0,1.0,0.3514,0.1764,0.08454069766568711,-62,-10,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-69,-22,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0034,0.016,0.0034,0.016,0.0032,0.0168,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.17,0.83,0.1743,0.8257,0.16,0.84,0.0,0.0001,0.5,0.5,0.0,0.0,0.5,0.5,0.1743,0.8257,0.1612,0.8388,0.0,0.0001,0.0034,0.016,0.0,0.0,0.0,0.0002,0.0,0.0002,0.1612,0.8388,0.1612,0.8388,AWAY,,6,0.984,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.0034,0.016,0.17,0.83,0.16,0.84,0.5,0.5,,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.023,0.005,0.023,0.004,0.025
15,121,0.5043041077691774,0,0,HIT,VGK #7 PIETRANGELO HIT EDM #91 KANE  Def. Zone,0.2857142857142857,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3708,0.1335,0.5043,1.1421,0.3622,0.1335,0.4957,1.1249,1.0,1.0,0.6486,0.294,0.1271,1.0,1.0,0.3514,0.1764,0.08453992755897383,88,33,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,-62,-10,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0034,0.016,0.0034,0.016,0.0032,0.0168,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.17,0.83,0.1743,0.8257,0.16,0.84,0.0,0.0001,0.5,0.5,0.0,0.0,0.5,0.5,0.1743,0.8257,0.1612,0.8388,0.0,0.0001,0.0034,0.016,0.0,0.0,0.0,0.0001,0.0,0.0001,0.1612,0.8388,0.1612,0.8388,AWAY,,7,1.0,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.0034,0.016,0.17,0.83,0.16,0.84,0.5,0.5,,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.023,0.005,0.023,0.004,0.025
16,124,0.5042980310166443,0,0,HIT,EDM #18 HYMAN HIT VGK #48 HERTL  Neu. Zone,0.2857142857142857,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3706,0.1337,0.5043,1.1423,0.362,0.1337,0.4957,1.1251,1.0,1.0,0.6486,0.294,0.1271,1.0,1.0,0.3514,0.1764,0.08453972282830907,51,39,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,88,33,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0034,0.016,0.0034,0.016,0.0032,0.0168,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.17,0.83,0.1743,0.8257,0.16,0.84,0.0,0.0001,0.5,0.5,0.0,0.0,0.5,0.5,0.1743,0.8257,0.1612,0.8388,0.0,0.0001,0.0034,0.016,0.0,0.0,0.0,0.0001,0.0,0.0001,0.1612,0.8388,0.1612,0.8388,HOME,,8,1.0,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.0034,0.016,0.17,0.83,0.16,0.84,0.5,0.5,,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.023,0.005,0.023,0.004,0.025
17,145,0.5042559125355496,0,0,HIT,VGK #2 WHITECLOUD HIT EDM #13 JANMARK  Def. Zone,0.375,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3692,0.1351,0.5043,1.1436,0.3607,0.1351,0.4957,1.1266,1.0,1.0,0.6485,0.294,0.1271,1.0,1.0,0.3515,0.1764,0.08453835268083958,90,30,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,51,39,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0034,0.016,0.0034,0.016,0.0032,0.0168,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.17,0.83,0.1743,0.8257,0.16,0.84,0.0,0.0001,0.5,0.5,0.0,0.0,0.5,0.5,0.1743,0.8257,0.1612,0.8388,0.0,0.0001,0.0034,0.016,0.0,0.0,0.0,0.0001,0.0,0.0001,0.1612,0.8388,0.1612,0.8388,AWAY,,9,1.0,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.0034,0.016,0.17,0.83,0.16,0.84,0.5,0.5,,37,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.023,0.005,0.023,0.004,0.025
18,146,0.5042539249598446,0,0,HIT,VGK #70 PEARSON HIT EDM #36 KLINGBERG  Def. Zone,0.4444444444444444,0,0,0,0,0.5,0.5,0.3333333333333333,0.5,0,Saturday  May 10  2025,0.38,0.1245,0.5046,0.3709,0.1245,0.4954,0.3691,0.1351,0.5043,1.1437,0.3606,0.1351,0.4957,1.1266,1.0,1.0,0.6485,0.294,0.1271,1.0,1.0,0.3515,0.1764,0.08453829016502126,86,-37,0,0,0.0,0.0,0.0,0,0.0,,0,0,0,0,0,90,30,0.0,0.0,0.0,,,0,0,0,0,0.0,,5,5,0.0034,0.016,0.0034,0.016,0.0032,0.0168,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.17,0.83,0.1743,0.8257,0.16,0.84,0.0,0.0001,0.5,0.5,0.0,0.0,0.5,0.5,0.1743,0.8257,0.1612,0.8388,0.0,0.0001,0.0034,0.016,0.0,0.0,0.0,0.0001,0.0,0.0001,0.1612,0.8388,0.1612,0.8388,AWAY,,9,1.0,0.0034,0.016,0.0032,0.0168,0.0,0.0,0.0034,0.016,0.17,0.83,0.16,0.84,0.5,0.5,,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.023,0.005,0.023,0.004,0.025
